District,Avg Fine Amount,Latitude,Longitude
alhambra,81.35714285714286,34.0953,-118.127
beverly hills,66.71847748935308,34.0736,-118.4004
burbank,68.38099843549992,34.1808,-118.309
calabasas,72.55648249858979,34.1367,-118.6615
carson,73.58811475409836,33.8317,-118.2817
culver city,69.20695094646854,34.0211,-118.3965
east los angeles,73.58768296050816,34.0224,-118.167
el segundo,69.01969723034577,33.9192,-118.4165
gardena,66.46824224519939,33.8883,-118.309
glendale,68.00564252365615,34.1425,-118.2551
huntington park,79.70553973595649,33.9817,-118.2251
inglewood,73.28563271715079,33.9617,-118.3531
lennox,67.73699421965318,33.9381,-118.3526
lomita,70.28664921465969,33.7922,-118.3151
long beach,78.52747252747254,33.7701,-118.1937
los angeles,71.39294199280472,34.0522,-118.2437
lynwood,77.49691738594328,33.9303,-118.2115
maywood,68.0,33.9867,-118.1853
monterey park,67.49656750572082,34.0625,-118.1228
pasadena,63.07692307692307,34.1478,-118.1445
rancho palos verdes,64.30434782608695,33.7445,-118.387
san fernando,73.33285549652865,34.2819,-118.439
santa clarita,78.2162162162162,34.3917,-118.5426
santa monica,66.92799111265775,34.0195,-118.4912
south gate,78.85148514851484,33.9547,-118.212
south pasadena,66.36360911270985,34.1161,-118.1503
walnut park,74.52221545952526,33.9689,-118.2224
west athens,71.1198795180723,33.924,-118.3004
west carson,71.10597548518895,33.8217,-118.2926
west hollywood,69.13197367099701,34.09,-118.3617
westmont,77.91927584692809,41.7959,-118.3047
willowbrook,72.70317002881845,33.917,-118.2551
