index,district
los angeles,47264
san fernando,31715
west hollywood,28891
calabasas,19580
westmont,16319
culver city,11185
beverly hills,9368
burbank,9209
inglewood,8642
santa monica,7551
lomita,5790
glendale,5740
huntington park,5296
willowbrook,4415
south pasadena,3211
el segundo,2527
east los angeles,2424
west carson,2226
walnut park,2095
west athens,881
gardena,798
carson,494
santa clarita,420
lennox,417
lynwood,403
long beach,176
south gate,119
pasadena,72
rancho palos verdes,41
monterey park,33
alhambra,14
maywood,3
takoradi,2
