District,Fine amount,Crime_Count,Category,Latitude,Longitude,Name,Rating,Review Count
santa monica,66.928,"7,551",sushi,34.020103,-118.493409,かっぽう おせん - Kappo Osen,5,34
santa monica,66.928,"7,551",spanish,34.002788,-118.484641,Manchego,4.5,835
santa monica,66.928,"7,551",newamerican,34.017951,-118.49302,Tar & Roses,5,"2,115"
santa monica,66.928,"7,551",bars,34.01104,-118.49491,The Lobster,4,"2,306"
santa monica,66.928,"7,551",bars,34.015401,-118.496658,The Misfit Restaurant + Bar,4,"3,792"
santa monica,66.928,"7,551",italian,34.015516,-118.490225,Fritto Misto,5,"2,511"
santa monica,66.928,"7,551",seafood,34.014069,-118.497797,Water Grill - Santa Monica,4,"1,831"
santa monica,66.928,"7,551",tradamerican,34.00923,-118.49173,Jimmy's Famous American Tavern,4.5,621
santa monica,66.928,"7,551",seafood,34.009789,-118.496597,The Albright,4,"1,360"
santa monica,66.928,"7,551",italian,34.034939,-118.478436,Fia Restaurant,4,54
santa monica,66.928,"7,551",gastropubs,34.024822,-118.459927,The Brixton,4.5,639
santa monica,66.928,"7,551",creperies,34.016968,-118.491596,Blue Daisy,4,"1,483"
santa monica,66.928,"7,551",seafood,34.008663,-118.491035,Herringbone,4,765
santa monica,66.928,"7,551",newamerican,34.031154,-118.496745,The Courtyard Kitchen,4,338
santa monica,66.928,"7,551",izakaya,34.03679,-118.477031,Takuma,4.5,354
santa monica,66.928,"7,551",breakfast_brunch,34.03397,-118.47938,Bru's Wiffle,4,"1,907"
santa monica,66.928,"7,551",french,34.015641,-118.494057,Massilia,4,281
santa monica,66.928,"7,551",breakfast_brunch,34.00436,-118.485811,Urth Caffé - Santa Monica,4,"3,244"
santa monica,66.928,"7,551",mexican,34.0159,-118.494792,Mercado Santa Monica,4,"1,394"
santa monica,66.928,"7,551",french,34.000193,-118.482081,Pasjoli,5,10
santa monica,66.928,"7,551",italian,34.019184,-118.496009,Colapasta,4.5,94
santa monica,66.928,"7,551",breakfast_brunch,34.031699,-118.46292,Bondi Harvest,4.5,643
santa monica,66.928,"7,551",caribbean,34.007133,-118.490387,Cha Cha Chicken,4,"2,050"
santa monica,66.928,"7,551",delis,34.017994,-118.489223,Bay Cities Italian Deli,4,"4,533"
santa monica,66.928,"7,551",italian,34.03377,-118.49263,Forma Restaurant & Cheese Bar,4.5,970
santa monica,66.928,"7,551",singaporean,34.019827,-118.493548,Cassia,4,"1,029"
santa monica,66.928,"7,551",newamerican,33.989623,-118.449888,26 Beach Restaurant,4,"3,006"
santa monica,66.928,"7,551",tradamerican,34.022426,-118.463715,Lunetta All Day,4,567
santa monica,66.928,"7,551",newamerican,34.012968,-118.494463,True Food Kitchen,4,"2,238"
santa monica,66.928,"7,551",mediterranean,34.021574,-118.495011,Calabra,4,22
santa monica,66.928,"7,551",tradamerican,34.026821,-118.46895,Birdie G's,4.5,114
santa monica,66.928,"7,551",italian,34.01374,-118.49624,North Italia,4,886
santa monica,66.928,"7,551",japanese,33.998093,-118.478849,Haruchan,4.5,112
santa monica,66.928,"7,551",wine_bars,33.993164,-118.474656,Barrique,4.5,442
santa monica,66.928,"7,551",noodles,34.015629,-118.498185,Uovo,4,882
santa monica,66.928,"7,551",seafoodmarkets,34.02369,-118.492328,Santa Monica Seafood Market & Cafe,4,"1,433"
santa monica,66.928,"7,551",steak,33.99808,-118.47445,American Beauty,4.5,34
santa monica,66.928,"7,551",bars,33.981368,-118.463066,Nighthawk: Breakfast Bar,4.5,807
santa monica,66.928,"7,551",mexican,34.02345,-118.49341,Benny's Tacos & Chicken Rotisserie,5,"1,593"
santa monica,66.928,"7,551",mexican,34.014062,-118.49529,Lanea,4,44
santa monica,66.928,"7,551",newamerican,34.020131,-118.454614,Society Kitchen,4,419
santa monica,66.928,"7,551",newamerican,34.011708,-118.494863,Del Frisco's Grille,4,"1,102"
santa monica,66.928,"7,551",newamerican,34.03206,-118.49578,R+D Kitchen,4,"1,286"
santa monica,66.928,"7,551",newamerican,34.01523,-118.49799,Flower Child,4,647
santa monica,66.928,"7,551",newamerican,34.01679,-118.49689,Fuku,3.5,14
santa monica,66.928,"7,551",pizza,34.03757,-118.47611,Milo and Olive,4,"1,678"
santa monica,66.928,"7,551",burgers,34.02928,-118.49833,Father's Office,4,"3,047"
santa monica,66.928,"7,551",italian,33.97972,-118.46613,C&O Trattoria,4,"3,456"
santa monica,66.928,"7,551",newamerican,34.017825,-118.501722,FIG Restaurant,4,975
santa monica,66.928,"7,551",tradamerican,34.023745,-118.512926,Back On the Beach,3.5,462
santa monica,66.928,"7,551",mediterranean,34.01665,-118.49121,Crimson,5,109
santa monica,66.928,"7,551",newamerican,34.02578,-118.49059,Ingo's Tasty Diner,4.5,615
santa monica,66.928,"7,551",lounges,34.01523,-118.49799,Élephante,3.5,673
santa monica,66.928,"7,551",newamerican,34.013818,-118.495393,The Independence,4,680
santa monica,66.928,"7,551",breakfast_brunch,34.015158,-118.495767,Bruxie,4,928
santa monica,66.928,"7,551",cocktailbars,34.017882,-118.499017,1212 Santa Monica,4,757
santa monica,66.928,"7,551",ramen,34.01495,-118.49693,Ippudo,3.5,242
santa monica,66.928,"7,551",french,34.028659,-118.486341,Posh Café,4.5,225
santa monica,66.928,"7,551",japanese,34.00031,-118.48207,Sunny Blue,5,"1,265"
culver city,69.207,"11,185",hotdog,34.03915,-118.44167,Myungrang Hot Dog-Sawtelle,5,11
santa monica,66.928,"7,551",steak,34.03637,-118.47651,Malbec Argentinean Cuisine,4,695
santa monica,66.928,"7,551",bars,34.010234,-118.495485,Big Dean's Ocean Front Café,4,529
santa monica,66.928,"7,551",greek,34.000921,-118.467876,Ela Greek Eats,4.5,55
santa monica,66.928,"7,551",bars,34.025082,-118.491336,Rustic Canyon,4,"1,240"
santa monica,66.928,"7,551",steak,34.014421,-118.497969,BOA Steakhouse,4,"1,327"
santa monica,66.928,"7,551",seafood,34.017388,-118.493759,Seasalt Fish Grill,4,"1,231"
santa monica,66.928,"7,551",polish,34.01893,-118.49126,Solidarity Restaurant,4,676
santa monica,66.928,"7,551",italian,34.008007,-118.490919,Capo,4,388
santa monica,66.928,"7,551",sushi,34.01299,-118.49562,KazuNori: The Original Hand Roll Bar,4.5,429
santa monica,66.928,"7,551",newamerican,34.027314,-118.455016,Upper West,4,"1,797"
santa monica,66.928,"7,551",breakfast_brunch,34.00914,-118.48774,AVO Café,5,25
santa monica,66.928,"7,551",newamerican,34.029086,-118.498681,Art's Table,4,533
santa monica,66.928,"7,551",newamerican,34.0244,-118.49129,Mélisse,4,"1,242"
santa monica,66.928,"7,551",juicebars,34.016704,-118.491248,The Hive,4.5,550
santa monica,66.928,"7,551",italian,34.019057,-118.455683,Vito Restaurant,4,511
santa monica,66.928,"7,551",steak,34.01271,-118.49617,Meat On Ocean,4,681
santa monica,66.928,"7,551",newamerican,34.0311,-118.47762,The Rooster,3.5,88
santa monica,66.928,"7,551",vegetarian,33.99166,-118.46916,The Butcher's Daughter,4,"1,175"
santa monica,66.928,"7,551",diners,34.024938,-118.459593,Rae's Restaurant,4,576
santa monica,66.928,"7,551",italian,34.01727,-118.49378,Orto Santa Monica,4.5,114
santa monica,66.928,"7,551",seafood,34.014606,-118.498129,Blue Plate Oysterette,4,"1,351"
santa monica,66.928,"7,551",breakfast_brunch,33.998356,-118.473829,Flake,5,"1,019"
santa monica,66.928,"7,551",newamerican,33.98958,-118.4637,Yours Truly Venice,4.5,86
santa monica,66.928,"7,551",ramen,34.01018,-118.49203,RAKKAN Ramen Santa Monica,4,118
santa monica,66.928,"7,551",cafes,34.019511,-118.494872,Metro Cafe,5,142
santa monica,66.928,"7,551",newamerican,34.018641,-118.501234,The Penthouse,4,"1,905"
santa monica,66.928,"7,551",breakfast_brunch,33.987489,-118.472299,Eggslut,4,761
santa monica,66.928,"7,551",mediterranean,34.015609,-118.498235,CAVA,4,288
santa monica,66.928,"7,551",tradamerican,34.015629,-118.498185,HiHo Cheeseburger,4.5,712
santa monica,66.928,"7,551",newamerican,34.01756,-118.49958,Wally's Santa Monica,3.5,123
santa monica,66.928,"7,551",breakfast_brunch,34.003613,-118.485447,Little Prince,4,171
santa monica,66.928,"7,551",japanese,34.01679,-118.49689,Supertoro,4,13
santa monica,66.928,"7,551",lounges,34.013289,-118.49596,The Craftsman Bar and Kitchen,4,385
santa monica,66.928,"7,551",diners,34.01516,-118.48685,Mel's Drive-In,3.5,283
santa monica,66.928,"7,551",mexican,34.007663,-118.49972,Mariasol,4,"1,383"
santa monica,66.928,"7,551",wine_bars,34.013219,-118.49467,Sonoma Wine Garden,4,"1,846"
santa monica,66.928,"7,551",mexican,34.010277,-118.493766,Casa Martin Mexican Restaurant,4,796
santa monica,66.928,"7,551",sushi,34.015258,-118.497374,SUGARFISH by sushi nozawa,4,"1,682"
beverly hills,66.7185,"9,368",taiwanese,34.058168,-118.41731,Din Tai Fung,4,"1,136"
santa monica,66.928,"7,551",pizza,33.9993,-118.48047,Pblc Trde,4.5,50
santa monica,66.928,"7,551",italian,33.998494,-118.479866,Via Veneto,4,450
santa monica,66.928,"7,551",italian,34.027024,-118.501309,Osteria Bigoli,4.5,87
santa monica,66.928,"7,551",bagels,34.02915,-118.48639,Bagel Nosh Deli,4,528
santa monica,66.928,"7,551",italian,34.02838,-118.51872,Il  Ristorante di Giorgio Baldi,4,421
santa monica,66.928,"7,551",mediterranean,34.018574,-118.498737,Panini Kabob Grill,4.5,460
santa monica,66.928,"7,551",newamerican,34.024076,-118.485918,Truxton's American Bistro,4,576
santa monica,66.928,"7,551",newamerican,33.99945,-118.480919,The Library Alehouse,4,"1,277"
santa monica,66.928,"7,551",burgers,34.014253,-118.498069,Stout Burgers & Beers,4,807
santa monica,66.928,"7,551",newamerican,34.016379,-118.496529,Dialogue,4.5,105
santa monica,66.928,"7,551",ramen,34.00388,-118.485875,JINYA Ramen Bar,4,839
culver city,69.207,"11,185",ramen,34.039579,-118.44267,Tsujita LA Artisan Noodle,4,"3,819"
santa monica,66.928,"7,551",coffee,34.014197,-118.497993,Little Ruby,4,264
santa monica,66.928,"7,551",poke,34.01892,-118.4894,Sweetfin Poké,4,"1,111"
santa monica,66.928,"7,551",salad,34.01744,-118.493703,Heroic Deli & Wine Bar,4.5,185
santa monica,66.928,"7,551",mexican,34.019678,-118.480235,Tacos Por Favor,4,"1,500"
santa monica,66.928,"7,551",beergardens,34.000206,-118.481384,Ashland Hill,4,652
santa monica,66.928,"7,551",seafood,33.998649,-118.480936,Enterprise Fish,4,"1,924"
santa monica,66.928,"7,551",newamerican,34.047432,-118.490712,Farmshop,3.5,586
santa monica,66.928,"7,551",chickenshop,34.032097,-118.472817,Love Bird,4.5,58
santa monica,66.928,"7,551",burgers,34.012629,-118.466817,Shaka Shack Burgers,4.5,830
santa monica,66.928,"7,551",newamerican,34.0175,-118.49981,Hillstone,4,"1,021"
santa monica,66.928,"7,551",coffee,34.00713,-118.48848,Dogtown Coffee,4,893
santa monica,66.928,"7,551",food_court,34.01679,-118.49689,SOCIALEATS,5,2
santa monica,66.928,"7,551",burgers,34.016793,-118.491964,Umami Burger - Santa Monica,4,"2,570"
santa monica,66.928,"7,551",newamerican,34.013566,-118.492843,The Curious Palate,4,561
santa monica,66.928,"7,551",mediterranean,34.020078,-118.454267,The Waterfront Venice,4,863
santa monica,66.928,"7,551",beergardens,33.9952,-118.48067,Cafe Zella,3.5,211
santa monica,66.928,"7,551",breakfast_brunch,34.028459,-118.487443,The Draycott,4,259
santa monica,66.928,"7,551",british,34.047089,-118.526787,La Vecchia Cucina,4,172
santa monica,66.928,"7,551",italian,34.00112,-118.48295,Prima Cocina,4,706
santa monica,66.928,"7,551",tacos,34.032585,-118.49478,Plan Check Kitchen & Bar- Santa Monica,4,105
santa monica,66.928,"7,551",cocktailbars,34.01411,-118.49746,Street Noods,4,459
santa monica,66.928,"7,551",taiwanese,34.01679,-118.49689,Huckleberry,3.5,16
santa monica,66.928,"7,551",breakfast_brunch,34.023994,-118.492165,Silverlake Ramen,4,"1,985"
santa monica,66.928,"7,551",ramen,34.01669,-118.49678,Chulita,3.5,184
santa monica,66.928,"7,551",mexican,33.998828,-118.473064,Viet Noodle Bar,4,127
santa monica,66.928,"7,551",vietnamese,34.02676,-118.45615,Taras Himalayan Cuisine,4,348
santa monica,66.928,"7,551",himalayan,34.046956,-118.490574,Cafe Vida - Pacific Palisades,4.5,24
santa monica,66.928,"7,551",breakfast_brunch,34.047117,-118.526138,Chinois On Main,4.5,613
santa monica,66.928,"7,551",asianfusion,34.00089,-118.48207,Bruno's,4,497
santa monica,66.928,"7,551",italian,34.010131,-118.493604,Pier Burger,4,427
santa monica,66.928,"7,551",seafood,34.009201,-118.497322,Local Kitchen & Wine Bar,4,536
santa monica,66.928,"7,551",wine_bars,34.01281,-118.46563,Cada Vez,4,266
santa monica,66.928,"7,551",tapasmallplates,34.01679,-118.49689,Cafe Vida - Culver City,4,8
culver city,69.207,"11,185",breakfast_brunch,34.021791,-118.396617,Tocaya - Santa Monica,4,"1,275"
santa monica,66.928,"7,551",mexican,34.02039,-118.49731,Felix Trattoria,4,413
santa monica,66.928,"7,551",italian,33.992211,-118.471898,Mom & Bop,4,767
santa monica,66.928,"7,551",korean,34.01798,-118.472566,Rutt's Hawaiian Cafe,4.5,73
culver city,69.207,"11,185",hawaiian,34.004426,-118.421607,Mendocino Farms,4,"1,650"
santa monica,66.928,"7,551",salad,34.021194,-118.496069,Kanpai Santa Monica,4.5,440
santa monica,66.928,"7,551",sushi,34.032896,-118.481061,Satdha Plant Based Thai Kitchen,4,85
santa monica,66.928,"7,551",thai,34.009819,-118.480177,RockSugar Southeast Asian Kitchen,4.5,732
beverly hills,66.7185,"9,368",indonesian,34.059554,-118.420109,Kato,4,"2,453"
santa monica,66.928,"7,551",japanese,34.04171,-118.46113,Obicà Mozzarella Bar Pizza e Cucina,4.5,267
santa monica,66.928,"7,551",italian,34.01665,-118.49121,Stella Barra Pizzeria,4.5,391
santa monica,66.928,"7,551",pizza,34.006628,-118.488729,Estate Restaurant + Bar,4,967
santa monica,66.928,"7,551",asianfusion,34.02819,-118.48757,California Chicken Cafe,4,453
santa monica,66.928,"7,551",catering,34.034232,-118.479872,Shoop's European Market & Cafe,4,615
santa monica,66.928,"7,551",delis,34.00391,-118.48581,New York Bagel & Deli,4.5,465
santa monica,66.928,"7,551",coffee,34.033064,-118.480877,Bowl Kitchen,4,407
santa monica,66.928,"7,551",vietnamese,34.01048,-118.48031,Mastro's Ocean Club,4,329
santa monica,66.928,"7,551",seafood,34.039687,-118.576133,Bubba Gump Shrimp Co.,4,"1,334"
santa monica,66.928,"7,551",seafood,34.009725,-118.497162,Blu Jam Café,3,"1,434"
santa monica,66.928,"7,551",breakfast_brunch,34.04169,-118.46988,Priscio,4,656
santa monica,66.928,"7,551",italian,34.02661,-118.47891,Dudley Market,4.5,115
santa monica,66.928,"7,551",wine_bars,33.99422,-118.479584,Marugame Udon,4.5,83
culver city,69.207,"11,185",japanese,34.04002,-118.44326,Kafe K,4,"1,240"
santa monica,66.928,"7,551",coffee,34.00562,-118.48686,Luna Grill - Santa Monica,4.5,240
santa monica,66.928,"7,551",greek,34.03951,-118.47371,Emilia,4,109
beverly hills,66.7185,"9,368",italian,34.07117,-118.37702,The Rose Venice,5,51
santa monica,66.928,"7,551",cafes,33.99614,-118.47704,Margot,4,"1,702"
culver city,69.207,"11,185",spanish,34.027525,-118.386918,Lares Restaurant,4,359
santa monica,66.928,"7,551",mexican,34.025019,-118.459366,CAMP,4,"1,124"
santa monica,66.928,"7,551",vietnamese,33.999516,-118.464162,Sunnin Lebanese Cuisine,4.5,498
santa monica,66.928,"7,551",mediterranean,34.017888,-118.49365,Noma,4,290
santa monica,66.928,"7,551",sushi,34.032063,-118.482575,Chinchikurin,4,541
culver city,69.207,"11,185",japanese,34.03886,-118.44226,Samosa House Santa Monica,4.5,490
santa monica,66.928,"7,551",indpak,34.00494,-118.48625,DK's Donuts & Bakery,4,274
