legal_name,dba_name,city,latitude ,longitude
1000 GROUP LLC,,LOS ANGELES,34.0504,-118.2613
1043 WESTWOOD BLVD LLC,TANINO RISTORANTE,LOS ANGELES,34.0618,-118.4454
1071 GLENDON PARTNERS LLC,FELLOW,LOS ANGELES,34.0612,-118.4446
"1076 OPERATIONS, LLC",,LOS ANGELES,34.056,-118.3645
"10E, LLC",10E RESTAURANT,LOS ANGELES,34.049,-118.2591
11 DINING LLC,TIMES SQUARE CAFE,LOS ANGELES,34.0521,-118.2457
11 VENTURA LLC,LAUREL TAVERN,STUDIO CITY,34.1431,-118.3918
110 SUNSHINE SMOOTHIES INC,DRNK/ QUENCH HOLLYWOOD,LOS ANGELES,34.0979,-118.3395
11262 VENTURA LLC,STOUT,STUDIO CITY,34.1414,-118.3752
1145 RESTAURANT LLC,BREWIN' COFFEE,LOS ANGELES,34.0598,-118.445
11520 W PICO RESTAURANT GROUP,,LOS ANGELES,34.033,-118.4424
"118 DEGREES LOS ANGELES, INC.",118 DEGREES TARZANA,TARZANA,34.1701,-118.5396
1233 PENMAR LLC,THE PENMAR,VENICE,34.0069,-118.4581
141 CENTRAL AVE LLC,PRIME PIZZA,LOS ANGELES,34.0486,-118.2394
143 S LA BREA INC,SYCAMORE KITCHEN | THE SYCAMORE KITCHEN,LOS ANGELES,34.0724,-118.344
"1430 N CAHUENGA PARTNERS, LP",CABANA CLUB,LOS ANGELES,34.0967,-118.3295
1544 CAHUENGA LLC,STOUT BURGERS & BEERS,LOS ANGELES,34.0988,-118.3295
1556 CAHUENGA PARTNERS LLC,TREJO'S TACOS,LOS ANGELES,34.0991,-118.3294
1562 CAHUENGA BLV BAR LLC,3RD BASE SPORTS BAR,LOS ANGELES,34.0995,-118.3291
1609 ALCAZAR INC,,SAN PEDRO,33.7386,-118.2926
1615 CAHUENGA LLC,3 DOG CANTINA AND THE BLUE BOAR PUB | BEAUTY & ESSEX,LOS ANGELES,34.1,-118.3295
1616 AKB LP,SALT AVENUE,VENICE,33.9897,-118.4635
1634 CAHUENGA LLC,ELBOW ROOM,LOS ANGELES,34.1009,-118.3293
1642 LAS PALMAS LLC,SOUND NIGHTCLUB,LOS ANGELES,34.1005,-118.3361
"1643 CAHUENGA, LLC",,HOLLYWOOD,34.101,-118.3298
1643 MEATHEAD LLC,BALL & CHAIN,LOS ANGELES,34.1005,-118.3295
1649 CAHUENGA LLC,,LOS ANGELES,34.1011,-118.3296
1650 SCHRAEDER BLVD LLC,EDEN,LOS ANGELES,34.1009,-118.3324
1805 W SUNSET LLC,EL PRADO,LOS ANGELES,34.0776,-118.2594
1821 NEW ENGLAND LLC,SAMURAI SUSHI AND TERIYAKI,LOS ANGELES,34.0268,-118.2192
1880 CAFE INC,1880 CAFE,LOS ANGELES,34.0614,-118.4145
1948 COLORADO INC,POSTO GIUSTO,LOS ANGELES,34.139,-118.2101
"2-ADEPT VENTURES, LLC",CAPRIOTTI'S SANDIWICH SHOP,CHATSWORTH,34.2368,-118.589
2000 COLDWATER LTD /C,CAFFE DELFINI,SANTA MONICA,34.0289,-118.5181
2000 E 7TH ST. LLC,GUERRILLA TACOS,LOS ANGELES,34.0343,-118.2321
22ND STREET LANDING LTD,22ND ST LANDING BAR GRILL | 22ND ST LANDING SEAFOOD GRILL & BAR,SAN PEDRO,33.7244,-118.2847
2379 WESTWOOD GROUP INC,LENNY'S DELI,LOS ANGELES,34.0406,-118.4293
2400 FLETCHER DRIVE INC,RICKS DRIVE IN/OUT,LOS ANGELES,34.1059,-118.2565
26 MADEMOISELLE COCOTTE LLC,COCO QUENN,WEST HOLLYWOOD,34.0872,-118.3799
2609 HYPERION AVE RESTAURANT PARTNERS LLC,MARE SILVERLAKE,LOS ANGELES,34.1062,-118.273
2747 INC,EL 7 MARES RESTAURANT,LOS ANGELES,34.0447,-118.2026
29TH & HOOVER INC,STUDY HALL,LOS ANGELES,34.0288,-118.2839
2ND FLOOR LA INC,,LOS ANGELES,34.0564,-118.2916
3 AND OUT INC,,LOS ANGELES,34.0305,-118.2632
3 HERMANOS MEXICAN FOODS INC,TAQUERIA & RESTAURANTE LOS TRES HERMANOS,NORTH HILLS,34.2428,-118.4673
3 IN ONE FOOD INC,PAROS DISCOUNT CHICKEN,LOS ANGELES,34.0911,-118.3046
3 TREE INC,,LOS ANGELES,34.0893,-118.2685
3 VENEZIE L P,CA DEL SOLE,TOLUCA LAKE,34.1436,-118.3614
3000 LOS FELIZ LLC,THE GRIFFIN,LOS ANGELES,34.1254,-118.2648
3160 8TH LLC,ONDAL RESTAURANT,LOS ANGELES,34.0575,-118.2968
3160 8TH LLC,ONDAL RESTAURANT,LOS ANGELES,34.0575,-118.2968
3179 LOS FELIZ PARTNERS LLC,,LOS ANGELES,34.1235,-118.2684
"321 JC, INC",BENTO BAE,LOS ANGELES,34.0627,-118.3095
328 W 2ND ST LLC,,LOS ANGELES,34.0531,-118.2478
"33 TAPS, LLC",33 TAPS HOLLYWOOD,LOS ANGELES,34.1016,-118.3259
35FR LLC,MIDORI SUSHI,ENCINO,34.1602,-118.5048
3600 WILSHIRE BAR LLC,SAPOR TAPAS BAR,LOS ANGELES,34.0607,-118.3036
"38 STACK, INC.",DUPARS RESTAURANT,LOS ANGELES,34.0722,-118.3604
"3914 - 6307 - 2747, INC.",EL 7 MARES RESTAURANT,LOS ANGELES,34.0447,-118.2026
3914 INC,EL 7 MARES RESTAURANT,LOS ANGELES,34.0236,-118.1886
4 FRATELLI INC,PANZANELLA RISTORANTE,SHERMAN OAKS,34.1524,-118.458
4 ON 6 INC,4 ON 6,ENCINO,34.1577,-118.4939
435 NORTH FAIRFAX LLC,ANIMAL RESTAURANT,LOS ANGELES,34.0791,-118.3614
4574 BEVERLY PARTNERS LLC,BOBBY LONDON,LOS ANGELES,34.0762,-118.3084
4600 SUNSET BLVD INC,CHEETAH | CHEETHAS,LOS ANGELES,34.0995,-118.2892
4TH  AT UNION INC,,LOS ANGELES,34.0529,-118.2564
5 FISH INC,CRAZY FISH GRILL & MARKET,SAN PEDRO,33.7636,-118.3113
"5 LINE MANAGEMENT, LLC",5 LINE TAVERN,LOS ANGELES,34.1388,-118.2133
"5 LINE MANAGEMENT, LLC",,LOS ANGELES,34.1361,-118.2065
510 BRW LLC,PADRE DTLA,LOS ANGELES,34.0475,-118.2507
5150 HB LLC,,LOS ANGELES,34.0827,-118.324
55 BUNGEE RAMEN INC,,LOS ANGELES,34.0498,-118.3092
58 E COLORADO CORP,NATALEE THAI CUISINE,LOS ANGELES,34.0225,-118.4003
"5916 N. FIGUEROA RESTAURANT, LP",TRIPLE BEAM PIZZA,LOS ANGELES,34.1105,-118.1902
"5916 N. FIGUEROA RESTAURANT, LP",HIPPO,LOS ANGELES,34.1105,-118.1902
5M GROUP LLC,THE FACULTY,LOS ANGELES,34.0837,-118.2949
6001 MELROSE INC,MARINO RISTORANTE,LOS ANGELES,34.0834,-118.3309
607 WESTERN RESTAURANTS LLC,BABY BLUES BBQ,LOS ANGELES,34.0631,-118.3095
62 SUNSET LLC,THE WELL,LOS ANGELES,34.098,-118.3252
6307 INC,EL 7 MARES RESTAURANT,LOS ANGELES,34.0161,-118.1353
