la_school_districts,COUNT of la_school_districts
90001,54
90002,37
90003,72
90004,48
90005,39
90006,24
90007,48
90008,25
90010,4
90011,97
90012,16
90015,21
90016,32
90017,23
90018,27
90019,34
90020,2
90021,14
90022,47
90023,58
90024,6
90025,10
90026,50
90027,8
90028,36
90029,17
90031,43
90032,45
90033,40
90034,27
90035,7
90036,8
90037,38
90038,14
90039,16
90041,17
90042,45
90043,31
90044,51
90045,33
90046,24
90047,34
90048,4
90049,10
90057,22
90058,6
90059,29
90061,28
90062,16
90063,50
90064,14
90065,42
90066,41
90068,2
90069,2
90071,2
90077,2
90094,2
90201,46
90230,14
90247,27
90248,14
90249,10
90250,4
90255,77
90270,18
90272,6
90275,8
90280,84
90290,2
90291,14
90292,2
90293,2
90303,2
90402,2
90501,2
90502,6
90710,21
90717,8
90731,49
90732,12
90744,43
90745,33
90746,21
90810,8
91034,2
91040,13
91042,17
91280,1
91303,20
91304,17
91306,31
91307,10
91311,26
91316,6
91324,14
91325,26
91326,10
91331,57
91335,51
91340,41
91342,47
91343,53
91344,42
91345,5
91352,42
91356,13
91364,14
91367,16
91401,25
91402,35
91403,4
91405,21
91406,33
91411,23
91423,10
91436,4
91601,26
91602,8
91604,2
91605,30
91606,24
91607,7
91754,2
L,0
LS,0
LS),0
TCH,0
Grand Total,2957
