category,is_closed,latitude,longitude,name,rating,review_count,district
newamerican,,34.046195000000004,-118.261698,464,4.0,2395,los angeles
coffee,,34.07956779999999,-118.30928490000002,101 Coffee Shop,4.5,403,west hollywood
mediterranean,,34.0489812,-118.2589574,10e,4.0,612,los angeles
mediterranean,,34.0489812,-118.2589574,25 Degrees,4.0,614,los angeles
burgers,,34.101411,-118.341748,33 Taps Silver Lake,3.5,1853,west hollywood
burgers,,34.101411,-118.341748,6th & La Brea Brewery & Restaurant,3.5,1854,west hollywood
sportsbars,,34.0908543,-118.2783261,71 Above,4.5,324,los angeles
italian,,34.08347702,-118.36648559999999,77 Kentucky,4.0,169,west hollywood
ramen,,34.0484525,-118.23909209999998,800 Degrees Woodfired Kitchen,4.0,2681,los angeles
sportsbars,,34.0908543,-118.2783261,A Food Affair,4.5,326,los angeles
burgers,,34.07905579,-118.3611374,A-Frame,4.0,1499,west hollywood
breweries,,34.06469,-118.34368,ACA Grill,4.0,298,west hollywood
breweries,,34.06469,-118.34368,Ackee Bamboo Jamaican Cuisine,4.0,299,west hollywood
tradamerican,,34.0511203,-118.2543221,Adamae,4.0,1707,los angeles
french,,34.051909,-118.3843212,Aduke African cuisine,4.5,1239,beverly hills
breakfast_brunch,,34.097807,-118.362255,Aeirloom Bakery,4.0,5741,west hollywood
newamerican,,34.046079999999996,-118.23489,Agra Cafe,4.0,859,los angeles
french,,34.051909,-118.3843212,Ahgassi Gopchang,4.5,1241,beverly hills
argentine,,34.0574375,-118.29374309999999,AJ's Tex-Mex & Barbecue,4.5,430,los angeles
argentine,,34.0574375,-118.29374309999999,Al & Bea's Mexican Food,4.5,430,los angeles
caribbean,,34.00574,-118.33183000000001,AL Basch Chicken,4.0,343,inglewood
caribbean,,34.00574,-118.33183000000001,Al Wazir Chicken,4.0,343,inglewood
newamerican,,34.076190000000004,-118.25656000000001,Alamo Drafthouse Cinema Downtown Los Angeles,4.5,53,los angeles
newamerican,,34.076190000000004,-118.25656000000001,Alaska Seafood,4.5,53,los angeles
african,,34.05272,-118.37456,Alchemist Coffee Project,4.0,71,beverly hills
african,,34.05272,-118.37456,Alcove Café & Bakery,4.0,69,beverly hills
mexican,,34.021171,-118.21276,Alfred Coffee Melrose Place,4.5,830,huntington park
korean,,34.06340679,-118.3038818,Alibi Room,4.5,1291,los angeles
korean,,34.06340679,-118.3038818,Aliki's Greek Taverna,4.5,1292,los angeles
seafood,False,34.0728,-118.37363,Alimento,4.5,664,west hollywood
tex-mex,,34.15779307,-118.3973857,All About the Bread,4.5,194,west hollywood
tex-mex,,34.15779307,-118.3973857,All Time,4.5,195,west hollywood
chicken_wings,,34.067454299999994,-118.30961909999999,All' Angolo Pizza & Pasta,4.5,552,west hollywood
mexican,,34.04534,-118.21398,All'Acqua,4.0,680,los angeles
mediterranean,,34.09850002,-118.34930659999999,Almaza,5.0,219,west hollywood
mideastern,,34.10203,-118.32191,Aloha Café,4.0,550,west hollywood
movietheaters,,34.04809,-118.2589433,Alta West Adams,4.5,107,los angeles
movietheaters,,34.04809,-118.2589433,Amacita,4.5,110,los angeles
movietheaters,,34.04809,-118.2589433,Amphai Northern Thai Food,4.5,111,los angeles
seafood,,34.07649,-118.30151000000001,Anarkali Indian Restaurant,4.5,126,west hollywood
seafood,,34.07649,-118.30151000000001,Andre's Italian Restaurant,4.5,127,west hollywood
seafood,,34.07649,-118.30151000000001,Angelini Osteria,4.5,127,west hollywood
coffee,,34.060212,-118.29132800000001,Angry Birdz,4.5,1058,los angeles
coffee,,34.060212,-118.29132800000001,Angry Chicken,4.5,1059,los angeles
tapasmallplates,False,34.10052,-118.32927,Angry Chickz,4.5,967,west hollywood
coffee,,34.060212,-118.29132800000001,Animal,4.5,1059,los angeles
bakeries,,34.106215,-118.28776,Antequera De Oaxaca,4.0,4185,glendale
bakeries,,34.106215,-118.28776,Antico Restaurant,4.0,4186,glendale
korean,,34.06309902,-118.2971334,Antigua Coffee House,4.0,729,los angeles
italian,,34.103041999999995,-118.29185700000001,Anzu Japanese Gourmet,4.0,945,glendale
lounges,,33.99689,-118.42653999999999,AOC,4.0,1466,culver city
lounges,,33.99689,-118.42653999999999,Apollonia's Pizzeria,4.0,1466,culver city
lounges,,33.99689,-118.42653999999999,Arashi Sushi,4.0,1467,culver city
lounges,,33.99689,-118.42653999999999,Araya's Place - Thai Vegan Restaurant,4.0,1467,culver city
