category,latitude,longitude,name,rating,review_count,district
sushi,34.020103000000006,-118.49340900000001,かっぽう おせん - Kappo Osen,5.0,34,santa monica
spanish,34.002787899999994,-118.48464140000002,Manchego,4.5,835,santa monica
newamerican,34.01795054,-118.4930203,Tar & Roses,4.5,2115,santa monica
bars,34.01104,-118.49491,The Lobster,4.0,2306,santa monica
bars,34.015401000000004,-118.49665800000001,The Misfit Restaurant + Bar,4.0,3792,santa monica
italian,34.01551625,-118.49022509999999,Fritto Misto,4.5,2511,santa monica
seafood,34.014069299999996,-118.49779679999999,Water Grill - Santa Monica,4.0,1831,santa monica
tradamerican,34.00923,-118.49173,Jimmy's Famous American Tavern,4.5,621,santa monica
seafood,34.00978929,-118.496597,The Albright,4.0,1360,santa monica
italian,34.034939,-118.47843600000002,Fia Restaurant,4.0,54,santa monica
gastropubs,34.024822,-118.45992690000001,The Brixton,4.5,639,santa monica
creperies,34.016968299999995,-118.49159579999998,Blue Daisy,4.0,1483,santa monica
seafood,34.00866251,-118.4910351,Herringbone,4.0,765,santa monica
newamerican,34.031154,-118.49674499999999,The Courtyard Kitchen,4.0,338,santa monica
izakaya,34.0367896,-118.47703119999998,Takuma,4.5,354,santa monica
breakfast_brunch,34.033970000000004,-118.47938,Bru's Wiffle,4.0,1907,santa monica
french,34.0156405,-118.4940566,Massilia,4.0,281,santa monica
breakfast_brunch,34.00436013,-118.4858108,Urth Caffé - Santa Monica,4.0,3244,santa monica
mexican,34.01590039999999,-118.4947923,Mercado Santa Monica,4.0,1394,santa monica
french,34.000192999999996,-118.48208100000001,Pasjoli,5.0,10,santa monica
italian,34.019184,-118.49600900000002,Colapasta,4.5,94,santa monica
breakfast_brunch,34.031698999999996,-118.46292009999999,Bondi Harvest,4.5,643,santa monica
caribbean,34.00713348,-118.49038700000001,Cha Cha Chicken,4.0,2050,santa monica
delis,34.017994,-118.489223,Bay Cities Italian Deli,4.0,4533,santa monica
italian,34.033770000000004,-118.49263,Forma Restaurant & Cheese Bar,4.5,970,santa monica
singaporean,34.01982702,-118.49354790000001,Cassia,4.0,1029,santa monica
newamerican,33.98962293,-118.4498883,26 Beach Restaurant,4.0,3006,santa monica
tradamerican,34.022425899999995,-118.4637148,Lunetta All Day,4.0,567,santa monica
newamerican,34.0129682,-118.4944629,True Food Kitchen,4.0,2238,santa monica
mediterranean,34.02157442,-118.49501090000001,Calabra,4.0,22,santa monica
tradamerican,34.026820799999996,-118.46894950000001,Birdie G's,4.5,114,santa monica
italian,34.013740000000006,-118.49623999999999,North Italia,4.0,886,santa monica
japanese,33.998093,-118.478849,Haruchan,4.5,112,santa monica
