category,latitude,longitude,name,rating,review_count
sushi,34.020103,-118.493409,かっぽう おせん - Kappo Osen,5,34
spanish,34.0027879,-118.4846414,Manchego,4.5,835
newamerican,34.01795054,-118.4930203,Tar & Roses,4.5,2115
bars,34.01104,-118.49491,The Lobster,4,2306
bars,34.015401,-118.496658,The Misfit Restaurant + Bar,4,3792
italian,34.01551625,-118.4902251,Fritto Misto,4.5,2511
seafood,34.0140693,-118.4977968,Water Grill - Santa Monica,4,1831
tradamerican,34.00923,-118.49173,Jimmy's Famous American Tavern,4.5,621
seafood,34.00978929,-118.496597,The Albright,4,1360
italian,34.034939,-118.478436,Fia Restaurant,4,54
gastropubs,34.024822,-118.4599269,The Brixton,4.5,639
creperies,34.0169683,-118.4915958,Blue Daisy,4,1483
seafood,34.00866251,-118.4910351,Herringbone,4,765
newamerican,34.031154,-118.496745,The Courtyard Kitchen,4,338
izakaya,34.0367896,-118.4770312,Takuma,4.5,354
breakfast_brunch,34.03397,-118.47938,Bru's Wiffle,4,1907
french,34.0156405,-118.4940566,Massilia,4,281
breakfast_brunch,34.00436013,-118.4858108,Urth Caffé - Santa Monica,4,3244
mexican,34.0159004,-118.4947923,Mercado Santa Monica,4,1394
french,34.000193,-118.482081,Pasjoli,5,10
italian,34.019184,-118.496009,Colapasta,4.5,94
breakfast_brunch,34.031699,-118.4629201,Bondi Harvest,4.5,643
caribbean,34.00713348,-118.490387,Cha Cha Chicken,4,2050
delis,34.017994,-118.489223,Bay Cities Italian Deli,4,4533
italian,34.03377,-118.49263,Forma Restaurant & Cheese Bar,4.5,970
singaporean,34.01982702,-118.4935479,Cassia,4,1029
newamerican,33.98962293,-118.4498883,26 Beach Restaurant,4,3006
tradamerican,34.0224259,-118.4637148,Lunetta All Day,4,567
newamerican,34.0129682,-118.4944629,True Food Kitchen,4,2238
mediterranean,34.02157442,-118.4950109,Calabra,4,22
tradamerican,34.0268208,-118.4689495,Birdie G's,4.5,114
italian,34.01374,-118.49624,North Italia,4,886
japanese,33.998093,-118.478849,Haruchan,4.5,112
wine_bars,33.993164,-118.474656,Barrique,4.5,442
noodles,34.0156287,-118.4981848,Uovo,4,882
seafoodmarkets,34.0236904,-118.4923282,Santa Monica Seafood Market & Cafe,4,1433
steak,33.99808,-118.47445,American Beauty,4.5,34
bars,33.9813676,-118.4630661,Nighthawk: Breakfast Bar,4.5,807
mexican,34.0234499,-118.49341,Benny's Tacos & Chicken Rotisserie,4.5,1593
mexican,34.01406171,-118.4952904,Lanea,4,44
newamerican,34.020131,-118.4546141,Society Kitchen,4,419
newamerican,34.0117075,-118.4948632,Del Frisco's Grille,4,1102
newamerican,34.03206,-118.49578,R+D Kitchen,4,1286
newamerican,34.01523,-118.49799,Flower Child,4,647
newamerican,34.01679,-118.49689,Fuku,3.5,14
pizza,34.03757,-118.47611,Milo and Olive,4,1678
burgers,34.02928,-118.49833,Father's Office,4,3047
italian,33.97972,-118.46613,C&O Trattoria,4,3456
newamerican,34.01782481,-118.5017216,FIG Restaurant,4,975
tradamerican,34.02374458,-118.5129264,Back On the Beach,3.5,462
mediterranean,34.01665,-118.49121,Crimson,5,109
newamerican,34.02578,-118.49059,Ingo's Tasty Diner,4.5,615
lounges,34.01523,-118.49799,Élephante,3.5,673
newamerican,34.0138177,-118.4953929,The Independence,4,680
breakfast_brunch,34.01515836,-118.4957666,Bruxie,4,928
cocktailbars,34.01788178,-118.4990167,1212 Santa Monica,4,757
ramen,34.01495,-118.49693,Ippudo,3.5,242
french,34.0286592,-118.4863411,Posh Café,4.5,225
japanese,34.0003097,-118.4820701,Sunny Blue,4.5,1265
hotdog,34.03915,-118.44167,Myungrang Hot Dog-Sawtelle,5,11
steak,34.03637,-118.47651,Malbec Argentinean Cuisine,4,695
bars,34.0102338,-118.4954845,Big Dean's Ocean Front Café,4,529
greek,34.0009205,-118.467876,Ela Greek Eats,4.5,55
bars,34.0250815,-118.4913361,Rustic Canyon,4,1240
steak,34.014421,-118.497969,BOA Steakhouse,4,1327
seafood,34.0173884,-118.4937586,Seasalt Fish Grill,4,1231
polish,34.01893,-118.49126,Solidarity Restaurant,4,676
italian,34.008007,-118.490919,Capo,4,388
