category,is_closed,latitude,longitude,name,rating,review_count
newamerican,,34.046195,-118.261698,464,4,2395
coffee,,34.0795678,-118.3092849,101 Coffee Shop,4.5,403
mediterranean,,34.0489812,-118.2589574,10e,4,612
mediterranean,,34.0489812,-118.2589574,25 Degrees,4,614
burgers,,34.101411,-118.341748,33 Taps Silver Lake,3.5,1853
burgers,,34.101411,-118.341748,6th & La Brea Brewery & Restaurant,3.5,1854
sportsbars,,34.0908543,-118.2783261,71 Above,4.5,324
italian,,34.08347702,-118.3664856,77 Kentucky,4,169
ramen,,34.0484525,-118.2390921,800 Degrees Woodfired Kitchen,4,2681
sportsbars,,34.0908543,-118.2783261,A Food Affair,4.5,326
burgers,,34.07905579,-118.3611374,A-Frame,4,1499
breweries,,34.06469,-118.34368,ACA Grill,4,298
breweries,,34.06469,-118.34368,Ackee Bamboo Jamaican Cuisine,4,299
tradamerican,,34.0511203,-118.2543221,Adamae,4,1707
french,,34.051909,-118.3843212,Aduke African cuisine,4.5,1239
breakfast_brunch,,34.097807,-118.362255,Aeirloom Bakery,4,5741
newamerican,,34.04608,-118.23489,Agra Cafe,4,859
french,,34.051909,-118.3843212,Ahgassi Gopchang,4.5,1241
argentine,,34.0574375,-118.2937431,AJ's Tex-Mex & Barbecue,4.5,430
argentine,,34.0574375,-118.2937431,Al & Bea's Mexican Food,4.5,430
caribbean,,34.00574,-118.33183,AL Basch Chicken,4,343
caribbean,,34.00574,-118.33183,Al Wazir Chicken,4,343
newamerican,,34.07619,-118.25656,Alamo Drafthouse Cinema Downtown Los Angeles,4.5,53
newamerican,,34.07619,-118.25656,Alaska Seafood,4.5,53
african,,34.05272,-118.37456,Alchemist Coffee Project,4,71
african,,34.05272,-118.37456,Alcove Café & Bakery,4,69
mexican,,34.021171,-118.21276,Alfred Coffee Melrose Place,4.5,830
korean,,34.06340679,-118.3038818,Alibi Room,4.5,1291
korean,,34.06340679,-118.3038818,Aliki's Greek Taverna,4.5,1292
seafood,FALSE,34.0728,-118.37363,Alimento,4.5,664
tex-mex,,34.15779307,-118.3973857,All About the Bread,4.5,194
tex-mex,,34.15779307,-118.3973857,All Time,4.5,195
chicken_wings,,34.0674543,-118.3096191,All' Angolo Pizza & Pasta,4.5,552
mexican,,34.04534,-118.21398,All'Acqua,4,680
mediterranean,,34.09850002,-118.3493066,Almaza,5,219
mideastern,,34.10203,-118.32191,Aloha Café,4,550
movietheaters,,34.04809,-118.2589433,Alta West Adams,4.5,107
movietheaters,,34.04809,-118.2589433,Amacita,4.5,110
movietheaters,,34.04809,-118.2589433,Amphai Northern Thai Food,4.5,111
seafood,,34.07649,-118.30151,Anarkali Indian Restaurant,4.5,126
seafood,,34.07649,-118.30151,Andre's Italian Restaurant,4.5,127
seafood,,34.07649,-118.30151,Angelini Osteria,4.5,127
coffee,,34.060212,-118.291328,Angry Birdz,4.5,1058
coffee,,34.060212,-118.291328,Angry Chicken,4.5,1059
tapasmallplates,FALSE,34.10052,-118.32927,Angry Chickz,4.5,967
coffee,,34.060212,-118.291328,Animal,4.5,1059
bakeries,,34.106215,-118.28776,Antequera De Oaxaca,4,4185
bakeries,,34.106215,-118.28776,Antico Restaurant,4,4186
korean,,34.06309902,-118.2971334,Antigua Coffee House,4,729
italian,,34.103042,-118.291857,Anzu Japanese Gourmet,4,945
lounges,,33.99689,-118.42654,AOC,4,1466
lounges,,33.99689,-118.42654,Apollonia's Pizzeria,4,1466
lounges,,33.99689,-118.42654,Arashi Sushi,4,1467
lounges,,33.99689,-118.42654,Araya's Place - Thai Vegan Restaurant,4,1467
sushi,,34.04529488,-118.2384584,Arctic Hotspot Bakery & Cafe,4,1032
greek,,33.95247039,-118.385242,Ariyoshi Sushi Cafe Izakaya,4.5,1016
greek,,33.95247039,-118.385242,Aroma Cafe,4.5,1015
sandwiches,,34.0836847,-118.344759,Asian Box,4,990
newamerican,,34.08695394,-118.376753,Aslan Mediterranean Cuisine,3.5,2274
french,FALSE,34.07208,-118.36749,Asso Pasta Bar & Wine,4,2033
korean,,34.06190712,-118.3096816,Asuka,4,626
coffee,,34.1088282,-118.2872851,Atlacatl Restaurant,4.5,231
italian,,34.1184299,-118.25971,Atrium,4,575
newamerican,FALSE,34.054358,-118.251339,Atwater Village Tavern,4,1877
italian,,34.1184299,-118.25971,Au Lac,4,575
mediterranean,,34.02948,-118.38901,Auburn,4,537
mediterranean,,34.02948,-118.38901,Ave 26 Taco Stand,4,537
foodtrucks,,34.034644,-118.241766,Awash Restaurant,4,978
burgers,,34.069511,-118.276321,Awesome Coffee,4,1207
breakfast_brunch,,34.0472167,-118.238885,Ay-Do-No Korean BBQ,4,656
breakfast_brunch,,34.0472167,-118.238885,Ayara Thai Cuisine,4,656
soulfood,,34.03278,-118.35994,Azay,4,234
soulfood,,34.03278,-118.35994,Azla,4,235
thai,,34.10199,-118.30323,Baby's Badass Burgers,4,888
tex-mex,,34.023008,-118.39482,Bacari W 3rd,4,42
thai,,34.098273,-118.306147,Bacari W. Adams,5,49
thai,,34.098273,-118.306147,Backyard Bowls,5,50
indpak,,34.08366,-118.34327,Bäco Mercat,4,2529
indpak,,34.08366,-118.34327,Badmaash - Downtown LA,4,2530
indpak,,34.08366,-118.34327,Badmaash - Fairfax,4,2530
indpak,,34.08366,-118.34327,Baja's Grill,4,2531
french,,34.07206,-118.36735,Baldoria,4,1813
vegan,,34.04565336,-118.2324523,Bamboo Restaurant,4,915
tradamerican,FALSE,34.0511203,-118.2543221,Banditos Tacos & Tequila,4,1708
indpak,,34.08366,-118.34327,Banh Oui,4,2531
italian,,34.0711906,-118.3599417,Bao Dim Sum House,4,1163
italian,,34.0711906,-118.3599417,Bao Hiroo,4,1164
