category,is_closed,latitude,longitude,name,rating,review_count
southern,FALSE,34.042333,-118.263475,,2.5,249
tradamerican,,34.09062583,-118.345579,Mimimyunga,3,61
desserts,FALSE,34.07134,-118.35687,,3,1398
italian,FALSE,34.05909186,-118.4204535,,3,498
tradamerican,FALSE,34.09062583,-118.345579,,3,61
szechuan,FALSE,34.058603,-118.419048,,3,730
mexican,FALSE,34.04495038,-118.2649336,,3,1349
seafood,FALSE,34.00922512,-118.3387002,,3,249
bars,FALSE,34.10119,-118.33678,,3,724
latin,,34.04515746,-118.3284447,The Sunset Trocadero Lounge,3.5,13
tradamerican,,34.0556347,-118.2746478,Jane Q,3.5,229
breakfast_brunch,,34.07381349,-118.3774918,L.A. Birria,3.5,289
thai,,34.07658,-118.3233,Da Pasquale Restaurant,3.5,347
italian,,34.0907745,-118.2779437,Tengoku Ramen Bar,3.5,378
tradamerican,,34.06081,-118.26734,Nong La Cafe,3.5,401
tradamerican,,34.06081,-118.26734,Northern Cafe,3.5,401
tradamerican,,34.06081,-118.26734,Noshi Sushi,3.5,402
tradamerican,,34.06081,-118.26734,Oasis Mediterranean Cuisine,3.5,402
newamerican,,34.11993,-118.32132,CALI PHO NIA,3.5,406
greek,,34.07393,-118.32398,Tsuri,3.5,411
burgers,,34.08373,-118.30949,Eighth Street Soondae,3.5,433
burgers,,34.08373,-118.30949,El Camaron Pelado,3.5,433
peruvian,,34.09592,-118.32643,Yang Chow,3.5,442
tradamerican,,34.10538377,-118.3187575,Market Provisions,3.5,476
italian,,34.0719052,-118.3595032,Dune,3.5,490
mexican,,34.02450481,-118.4111812,"The Butcher, The Baker, The Cappuccino Maker",3.5,560
mexican,,34.02450481,-118.4111812,The Carving Board,3.5,561
seafood,,34.06621,-118.23804,Meizhou Dongpo Restaurant,3.5,679
dimsum,,34.0655098,-118.2362747,Michin Dak,3.5,704
dimsum,,34.0655098,-118.2362747,Mignon,3.5,705
gastropubs,,34.03602,-118.23305,Wafflejack,3.5,765
seafood,,34.10142181,-118.3259859,Jack's Family Kitchen,3.5,834
newamerican,,34.050802,-118.253996,Ebaes,3.5,841
coffee,,34.1053749,-118.3188399,Din Tai Fung,3.5,853
cajun,,34.0254551,-118.327966,PASTA e PASTA by Allegro,3.5,859
cajun,,34.0254551,-118.327966,Pasta Sisters,3.5,859
mexican,,34.04328564,-118.2635612,Doomie's Home Cookin',3.5,880
mexican,,34.04328564,-118.2635612,Doshi Fish,3.5,881
mexican,,34.0571939,-118.2384039,The Parlor,3.5,928
mexican,,34.0571939,-118.2384039,The Penthouse at Mastro's,3.5,928
mexican,,34.0571939,-118.2384039,The Pie Hole,3.5,930
mexican,,34.0571939,-118.2384039,The Pikey,3.5,930
japanese,,34.04883,-118.24147,The Doughroom,3.5,997
japanese,,34.04883,-118.24147,The Dragon and Meeple,3.5,997
mexican,,34.04675,-118.28247,Terra,3.5,1003
mexican,,34.04675,-118.28247,Terra Cotta,3.5,1004
mexican,,34.04675,-118.28247,TGI Korean BBQ,3.5,1004
japanese,,34.0394075,-118.4303465,Ohana Superette,3.5,1012
japanese,,34.0394075,-118.4303465,Oi Asian Fusion,3.5,1012
steak,,34.04766494,-118.2612188,Mapo Galbi,3.5,1050
sushi,,34.0487781,-118.2406613,The Faculty,3.5,1315
sushi,,34.0487781,-118.2406613,The Front Yard,3.5,1316
sushi,,34.0487781,-118.2406613,The Grain Cafe,3.5,1316
sushi,,34.0487781,-118.2406613,The Griddle Cafe,3.5,1318
sushi,,34.0487781,-118.2406613,The Griffin,3.5,1318
newamerican,,34.05651451,-118.415215,Plato,3.5,1365
newamerican,,34.05651451,-118.415215,Poke Me,3.5,1365
izakaya,,34.04539672,-118.2383287,Public School 213,3.5,1410
italian,,34.11092,-118.28721,Wah's Golden Hen,3.5,1530
mexican,,34.09769,-118.35205,LA Number 1 Chueotang,3.5,1586
mexican,,34.09769,-118.35205,La Numero Uno,3.5,1587
mexican,,34.07587433,-118.3492203,LA Paella,3.5,1665
mexican,,34.07587433,-118.3492203,La Pergoletta,3.5,1666
newamerican,,34.102131,-118.336288,Carlitos Gardel Argentine Steakhouse,3.5,1826
